Sr.no,Brand,Model Name,Price,Item Weight (kg),Color Options,Wheels,Energy Consumption (Kwh/yr),Load Weight,Height,Width,Gross Weight,Type,Product Warranty,Motor Warranty,Child Lock,Noise Level (washing) dB,Noise Level (spinning) dB,Max Spin Speed (rpm),Water Consumption (KWh/yr),Water Consumption (Liters),Loading Type
31,Whirlpool ,Superb Atom 62I ,9150,21,Dark Grey,Yes,,"6,2","90,5","79,3",0,semi automatic,2,0,No,,,1400,0,0,Top
32,Intex ,WMS76FT ,9290,27,White and Cherry Red,Yes,,"7,6","99,5","80,5",27,semi automatic,1,0,No,60,60,0,0,0,Top
33,Whirlpool ,Whitemagic Premier ,15299,,Grey,,,"6,5",0,0,0,Fully Automatic,1,0,Yes,,,0,0,0,Top
34,LG ,T7070TDDL ,13770,,Blue White,,,6,85,54,0,Fully Automatic,2,0,Yes,,,710,0,0,Top
35,Bosch ,WAB16161IN ,20989,63,White,No,,6,"84,8","59,8",67,Fully Automatic,2,10,No,,,800,0,0,Front
36,LG ,P7556R3FA ,11090,,Dark Blue,,,"6,5","97,5","79,5",0,semi automatic,2,0,No,,,0,0,0,Top
37,LG ,P9032R3SM(BG),13990,,Burgundy,Yes,,8,"97,5","80,5",0,semi automatic,2,0,No,,,1000,0,0,Top
38,LG ,P8539R3SM ,12880,,Dark Grey,,,"7,5","97,5","80,5",0,semi automatic,2,0,No,,,740,0,0,Top
39,Intex,WMS80TG ,9490,,White & Maroon,Yes,,8,97,81,28,semi automatic,2,0,No,60,60,1300,0,0,Top
40,LG ,P8072R3FA ,11885,,Dark Blue,,,7,"97,5","80,5",0,semi automatic,2,0,No,,,740,0,0,Top
41,Onida ,WO60TSPLNEMO,9990,27,Lava Red,No,,6,90,52,0,Fully Automatic,2,0,No,62,72,770,0,0,Top
42,Electrolux ,ES72USMR ,10000,"28,5",maroon Red,,,"7,2",96,78,"28,5",semi automatic,2,2,No,,,1350,0,0,Top
43,Whirlpool ,Ace 7.0 Turbo Dry,11290,,Flora Purple,Yes,,7,"48,5","95,7",0,semi automatic,2,2,No,,,1450,0,0,Top
44,Godrej ,GWS6203PPD ,9090,,Blue & White,No,,"6,2","90,5",76,0,semi automatic,2,5,No,,,650,0,0,Top
45,Panasonic ,NA-F62B5HRB,14392,,Grey,,,"6,2","89,4",52,0,Fully Automatic,2,0,Yes,,,720,0,99,Top
46,LG ,P1515R3SA ,17500,,Burgundy,Yes,,"9,5","102,5",88,0,semi automatic,2,0,Yes,,,740,0,0,Top
47,IFB ,TL-SDG,20799,38,Sparkling Silver,,,7,95,57,45,Fully Automatic,2,0,Yes,,,720,0,118,Top
48,Bosch,WAK20060IN ,23490,,White,,,7,85,60,0,Fully Automatic,2,10,No,54,74,1000,0,47,Front
49,Whirlpool,Stainwash Deep Clean 65,18490,,Grey,,,"6,5",0,0,0,Fully Automatic,2,10,Yes,,,0,0,0,Top
